address,ens_name,follow_count,follow_count_space,follow_count_non_space,total_votes,total_proposal_interaction,total_proposal_interaction_in_space,total_proposal_interaction_non_space,total_nft,rewards_nft
0xb3313b023e68CdA95d7B625200e1B0fE6335A0c2,rsrosabio.eth,20,0,20,103951.4596,357,80,277,50,0
0xd798dFAD9CE8FcD535A54E963dBD5Ea6c4985530,voodoolcp.eth,18,1,17,65305.6999,357,55,302,14,1
0xd798dFAD9CE8FcD535A54E963dBD5Ea6c4985530,voodoolcp.eth,18,1,17,65305.6999,357,55,302,14,1
0xF82b3a0CD76EF3DcFaF772c27b2a39F1e1915494,maximilianuos.eth,20,1,19,40742.71282,355,80,275,50,0
0x682C4184286415344a35a0Ff6699bb8EdAbDdc17,justwanttoknowathing.eth,11,1,10,647775.4186,348,44,304,26,1
0xaec80B4fbE227198720b1d1B82a12968bAA0B144,changning.eth,20,1,19,510059.4963,348,44,304,31,0
0x23c4111D6f85De542DD8AD911c7c3cc66E98faa7,fateswing.eth,14,1,13,142000,348,72,276,0,0
0x2245bE89Fc8faB94ed982e859Aa3212A4e4eB7e5,ethlegends.eth,20,1,19,487737.6699,342,60,282,50,0
0xd8742073F4F44d0046916a9B62A955A36e0c0e5f,heyun.eth,19,1,18,109391.5001,341,76,265,50,0
0xE4b217F63fA4b9b10C87d2eae0D4a1065c6549a7,18969393300.eth,20,0,20,104903.0176,341,81,260,50,0
0xBf62319147a6fB8DCB9bd907B890195Be6929222,happybday.eth,19,1,18,214258.9419,340,78,262,50,2
0x5A2Cf5b6061De4Cd3C5936a781621fA8E4d1fDcF,gusha.eth,19,1,18,182852.7786,338,60,278,50,0
0x5defe4f60965528030EE48bba305Ed017AB84998,crypto3egal.eth,20,0,20,26585.16171,338,89,249,50,0
0xDcdB53E8E1123BAA64a0B7d3Da13E360CA843797,permanentloss.eth,13,1,12,154093.1375,337,82,255,46,3
0xDcdB53E8E1123BAA64a0B7d3Da13E360CA843797,permanentloss.eth,13,1,12,154093.1375,337,82,255,46,3
0x8B9A3787dfA6d221990967C7AEe4c6F7237649A4,NULL,13,1,12,27494.05303,337,50,287,23,2
0x54e250eA9b59F4d627b7c35570E7AcD688916Ba6,supra93.eth,12,1,11,269195.9347,336,36,300,1,0
0xd39eA6043d1Fa03f5be2bEB2cFE65faa4eF0e595,mrblue88.eth,20,1,19,609952.0482,333,93,240,42,2
0xAa87a3a6290E2739bB7C87A0D6d6AB794CB2DB23,majid-mousavi.eth,20,1,19,69263.81524,333,89,244,50,0
0xAa87a3a6290E2739bB7C87A0D6d6AB794CB2DB23,majid-mousavi.eth,20,1,19,69263.81524,333,89,244,50,0
0xEae9C2A2C803BEcbC81F3A485a7cdA9D03E33165,aibobaby.eth,20,1,19,41292.24155,330,24,306,38,4
0xA9F51db4725f0EAf9d530Bae8db0fd858D505547,warside.eth,20,1,19,95276.93471,322,62,260,50,0
0xCf2b7c6Bc98bfE0D6138A25a3b6162B51F75e05d,0xphoenix.eth,20,0,20,603364.3547,321,67,254,50,0
0x694cf723954203C4644f273277538af3dd947489,sebakh.eth,20,1,19,97419.80022,320,45,275,50,0
0x68f66Fac4B02419496a7C1D5Ad5F093Ae67e6E50,zhahugh9527.eth,20,1,19,42329.26297,318,44,274,50,0
0xbd3932EdA8C754C531351A8A88f96d2B77128335,dsbtc.eth,14,1,13,92167.18782,317,65,252,13,0
0x2360d331A8d59aC079bCB516DE782d3906a7E950,deason6.eth,13,1,12,99948.52556,314,63,251,49,1
0x2360d331A8d59aC079bCB516DE782d3906a7E950,deason6.eth,13,1,12,99948.52556,314,63,251,49,1
0x475b6ff6603F17177B7E419d1aD2791fb82a3a56,aralekor.eth,20,1,19,96814.6449,314,61,253,33,0
0xFB40932271Fc9Db9DbF048E80697E2Da4AA57250,axisb.eth,16,1,15,49863.1463,313,87,226,50,0
0x566E3171b980dcD041eC0696E10C73FeF191dcFD,lambos?n.eth,20,0,20,26537.63064,308,39,269,50,1
0xa51fAB99348B58082154A96FD2a7D92600a0E930,haciyatmaz.eth,20,1,19,98421.60851,304,89,215,50,0
0xAcdceB490C614fA827C4f20710ee38E6b27d0EB2,0xdai.eth,20,1,19,40226.26524,301,76,225,50,0
0x9A5dca0fC5440AaeD7550F93822B04DC6E187B8C,mohsen59.eth,20,0,20,42095.63641,299,84,215,41,2
0x9A44394ffd96a78d0B5c5b2f5DCFF6052C70176d,jawnnyquest.eth,14,0,14,28176.42187,298,28,270,19,1
0x57987a50186A9615Ba8f7BE757c0711942baA60e,piwork.eth,11,1,10,514470.3177,297,84,213,50,0
0x0D2349e291A9e0Bb755bFFA4097E6D378A72330B,danielthegreat.eth,20,0,20,58661.43249,296,25,271,50,1
0x4EE809D0e7b4Ab90474C515329E1409F16Ed9a26,cgxuanyu2056.eth,20,0,20,34528.74528,296,56,240,50,0
0xa2277F4aE7e6380De426fa334B05D4CEb39F1d47,NULL,20,1,19,321303.692,295,62,233,50,1
0x183B55b55127d35D3424e838aaD045692045A144,nokia3310.eth,14,1,13,249518.4001,295,91,204,50,0
0xBB67bCe8D0E63082A5A349B35439F14C167E08F6,xiangguacheng.eth,20,1,19,29094.54868,294,20,274,18,1
0x9E2E00AaB67c3A7B827eb3e431c4A6c2077510a6,fatihbilgili.eth,15,1,14,240087.6366,293,35,258,18,0
0xec561DD73346f761d1C09f46999bc8Ea1b1E95a2,luckfairy.eth,20,1,19,103450.5379,290,89,201,50,1
0xec561DD73346f761d1C09f46999bc8Ea1b1E95a2,luckfairy.eth,20,1,19,103450.5379,290,89,201,50,1
0xDD39C8DEAeacdcddE35Bd48A469349B9346fe7Fa,ething.eth,13,1,12,36301.94222,290,37,253,7,1
0x396d0b1F18425dD8B68deaD6B1CE9b80931Bc3DD,cryptosasha.eth,14,1,13,46974.30187,289,60,229,50,1
0x25FbAcC2e86cfdD7482fA5A84815150B0ebaae54,xuming.eth,19,1,18,41976.8544,289,59,230,50,0
0xa8B7D97570c34068efAc4Ec51DeDDD4C16602ae8,mousavi1356.eth,20,0,20,63675.06124,288,78,210,50,0
0x62a43123FE71f9764f26554b3F5017627996816a,flipsidecrypto.eth,5,1,4,18354157.1,287,71,216,1,0
0x29c6E10BEeA3de477D684D3198a8eb79ea9433Da,coffeemusic.eth,20,0,20,55352.47325,287,72,215,50,0
0xb2BE6D8E872C7b08085d9DCE6AFcBd0286C75B0A,kodock.eth,20,1,19,33534.38293,287,24,263,49,2
0xF78F2bba5EA14419Ff7Cb5e68d192CD214ec049e,justmarried.eth,10,1,9,180604.5274,286,73,213,47,2
0xF78F2bba5EA14419Ff7Cb5e68d192CD214ec049e,justmarried.eth,10,1,9,180604.5274,286,73,213,47,2
0x40F404FE6C091b951576ECC7bCcE5ECd56c985f7,ursusarctos.eth,20,0,20,42295.68909,286,37,249,44,1
0x341d2d099d0ad1986CE5E549a1a15631163877D6,s1m0n.eth,20,0,20,58221.28521,285,65,220,50,0
0x7D3b6F0fae542B06a071C8d7ad7B06AB8ad7F16a,alex152.eth,18,1,17,31517.34896,282,41,241,50,1
0xa3dF90Bf8E8183A74b537B27e3955BA7D8De199c,0xmasoud.eth,20,1,19,127271.9971,279,75,204,50,0
0x1ACeA492E78dc5d2Ba007ff0a68f55dC4BB05eE9,dapppp.eth,20,1,19,60376.1816,279,24,255,27,1
0x62C7DB69210cb72fe1f8966c87131e9C0abF7Ce7,coffeefish.eth,16,0,16,42995.41695,279,59,220,50,2
0xF33364a83b6002D5070EC5FA31F5d9EB93572732,phuktep.eth,7,1,6,411310.3382,278,52,226,21,0
0xAd05B50B71D1C05e3309e9f99E633A21741b77D9,gmruby.eth,20,1,19,84215.44569,276,85,191,43,2
0x940c8B40c9c2383094804b5DEF77a7680b7878Cb,sifbb.eth,20,1,19,45899.64954,275,84,191,50,0
0x595eF74cfca44eac149740e18d6d8C80309C4E1b,xishoushou.eth,20,1,19,39365.68199,275,93,182,50,2
0x476e8C784Cb487Ba1532907556E47AB960F5D137,zspkoliver.eth,20,1,19,97452.39304,274,59,215,50,2
0xd0d3C22129c9D53C6C5F0bdA74C46E2c4fFBfF5a,bfun.eth,20,0,20,53327.72542,274,89,185,50,0
0x8C2e843664Be468522769b0d1B3B604A17962249,lolnft.eth,20,1,19,29202.54868,274,25,249,20,1
0x1122a796Fcb9d6f76926bCCC840ae858E788cd6d,godofnature.eth,20,1,19,177654.4413,272,57,215,50,0
0x2479270315a74c353580cEc39250A34E43F1Bb25,hereisamoney.eth,20,0,20,93273.32936,269,38,231,50,1
0x1C54c331ac240cbc5e8Ab94937cE42729Fc85D75,testingtime.eth,11,1,10,72086.41481,267,92,175,50,0
0x6EC03eE16bcD001A73B18331b954542368F79e45,anniwang.eth,20,0,20,51448.5896,267,39,228,50,1
0x867d3D7721bC2b3e9A6C3843C73e33eE249e60b5,NULL,14,1,13,236379.9889,265,92,173,11,2
0xc4F91CDd498A30f8ed1dEa3883Cba314a7A2a022,comeandplay.eth,20,0,20,57281.17994,265,38,227,50,1
0x9bEa8d579a72785Fd79d5356864ec002f02281A9,bitcoinhome.eth,20,0,20,38712.74341,263,86,177,50,1
0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,NULL,20,0,20,334275.1765,262,21,241,50,0
0xb78942224337f0DD43AaF570baC067d431f5f059,adalin.eth,20,1,19,46708.07788,260,56,204,36,0
0x39501a8D70Bea6cd9527B9f38E3D5e9079DD8645,NULL,20,1,19,71368.53877,259,65,194,50,2
0x4c55C41Bd839B3552fb2AbecaCFdF4a5D2879Cb9,pipilu.eth,20,1,19,616692.8072,256,61,195,50,0
0xBB8B4d64f99f714954522C3BFd21B1cB1A6DE9D8,mrly8621.eth,18,1,17,26788.33774,256,86,170,50,1
0xfC3551F3b51F27CA60eFb25f45eD95d4e80E7071,0xaaa.eth,19,1,18,473572.1853,254,38,216,24,2
0x48a19Ec96B8750B22dEb049Ae9916094aA03F3C3,galax2.eth,13,1,12,30953.11537,253,91,162,19,2
0x2dc8C2eC64A5dfF670Bc4AD3aB2cA6Cf0b09a13e,NULL,17,1,16,39991.70197,252,48,204,16,0
0x0cc0fDfA2A9EdFC89087E405a4d4b6120ea686fB,NULL,20,1,19,35600.11776,252,24,228,50,1
0x0dc01a72c25763EACe7A9d0F86CB74D8476082C2,xiaomin.eth,11,1,10,84699.13622,250,82,168,50,1
0xB512f6eda8D66092C5ab1d6c5EC718970E064683,dogless.eth,20,1,19,58449.24097,250,24,226,14,1
0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,lefteris.eth,4,1,3,86854879.01,247,89,158,2,0
0x16Ed466B1202dB268d545EE2f7202b68f0FB35D3,shitdao.eth,20,0,20,114986.6079,247,57,190,50,1
0x242C7f2279A3187279fD61605004A4B477B63A78,nftpornstar.eth,20,1,19,70167.51012,246,89,157,50,1
0x0331969e189D63fBc31D771Bb04Ab44227D748D8,butterbum.eth,6,1,5,10451749.85,245,93,152,50,3
0x6FEC46201a6F132C81142ac49a001791969520b8,mey4am.eth,20,0,20,191487.3607,245,92,153,14,0
0x20628b67CE5CdDac1CB95198C0fF5271f39fc048,mehdiaghili.eth,20,0,20,56302.27972,243,68,175,50,0
0xA55aCEDb58B498fD1CA0a7287e3bF7044E592ea0,koda0011.eth,2,0,2,31657.65534,243,91,152,50,0
0xbE4Eee9ffbD539FcBFD93686b703dFe200191Cc8,mpass.eth,16,0,16,40753.54316,241,91,150,44,3
0x5E1610784f0b8c1CD1DF8170eC28a59e94cB5c0d,wujianliwu.eth,1,0,1,28753.24108,241,36,205,5,1
0x839395e20bbB182fa440d08F850E6c7A8f6F0780,griff.eth,14,1,13,31490955.77,240,70,170,2,0
0x6D6E472aeEC3F54509c6A805B8B216df2aD99c19,NULL,20,0,20,62057.95461,239,90,149,36,2
0x763c823E2bdd66538C85736B1784031Fa4d993F6,kalma.eth,10,1,9,197021.4233,238,63,175,4,0
0x6e953848958A8f436d2A88f05C83ea27dc5586FF,layer12.eth,14,1,13,124134.9109,238,74,164,50,1
0x5465a3Ec317618d749E9F8FE31bF0F0DB90f3A11,milad7.eth,20,0,20,29080.01704,238,78,160,50,0
0x7E9d8fD68C32aA950fD302faDDf04FFE39b6FE9e,NULL,20,0,20,118287.3905,237,90,147,32,3
0x2c824314e163a7D392BcCa543701050A689Adc29,ppxxqq.eth,17,1,16,37320.39098,237,90,147,34,1
0xeb4351d692619BA5d00feBefEecdC38C1a26600c,tighss.eth,20,1,19,80258.56634,236,66,170,50,1
0x4C078cB14B2D321231a90089195317968957896d,96845.eth,1,0,1,28753.24108,234,36,198,6,1
0x10A1DB5D3A971Cf1e565B28A86D5cE9E576A7b81,alinormohammadi.eth,6,1,5,117925.6832,233,78,155,50,0
0x63693A8544523d23aE490d88e88baA404C867574,diskarma.eth,20,1,19,255200.231,232,41,191,50,3
